,address
0,"('37.619683 55.699949', 'Донской район')"
1,"('37.622405 55.700877', 'Донской район')"
2,"('37.622801 55.693079', 'Донской район')"
3,"('37.618767 55.656839', 'Не определен')"
4,"('37.618821 55.646233', 'Не определен')"
5,"('37.599157 55.583953', 'район Чертаново Южное')"
6,"('37.53252 55.69076', 'Гагаринский район')"
7,"('37.529358 55.688989', 'Ломоносовский район')"
8,"('37.529358 55.688989', 'Ломоносовский район')"
9,"('37.529358 55.688989', 'Ломоносовский район')"
10,"('37.529358 55.688989', 'Ломоносовский район')"
11,"('37.527678 55.687655', 'Ломоносовский район')"
12,"('37.511751 55.678402', 'район Проспект Вернадского')"
13,"('37.474543 55.660496', 'район Тропарёво-Никулино')"
14,"('37.495141 55.667132', 'район Тропарёво-Никулино')"
15,"('37.491386 55.667158', 'район Тропарёво-Никулино')"
16,"('37.491386 55.667158', 'район Тропарёво-Никулино')"
17,"('37.492671 55.663365', 'район Тропарёво-Никулино')"
18,"('37.482035 55.655478', 'район Тропарёво-Никулино')"
19,"('37.452103 55.723719', 'район Фили-Давыдково')"
20,"('37.62908 55.671174', 'район Нагатино-Садовники')"
21,"('37.629942 55.666533', 'район Нагатино-Садовники')"
22,"('37.664788 55.647899', 'район Москворечье-Сабурово')"
23,"('37.669998 55.64478', 'район Москворечье-Сабурово')"
24,"('37.671588 55.644155', 'район Москворечье-Сабурово')"
25,"('37.564913 55.750717', 'район Дорогомилово')"
26,"('37.564913 55.750717', 'район Дорогомилово')"
27,"('37.564913 55.750717', 'район Дорогомилово')"
28,"('37.562272 55.750732', 'район Дорогомилово')"
29,"('37.560547 55.749177', 'район Дорогомилово')"
30,"('37.556864 55.746922', 'район Дорогомилово')"
31,"('37.549866 55.744977', 'район Дорогомилово')"
32,"('37.535835 55.74148', 'район Дорогомилово')"
33,"('37.535835 55.74148', 'район Дорогомилово')"
34,"('37.531038 55.738688', 'район Дорогомилово')"
35,"('37.582709 55.778644', 'район Беговой')"
36,"('37.579933 55.779712', 'район Беговой')"
37,"('37.573932 55.780416', 'район Беговой')"
38,"('37.578855 55.780162', 'район Беговой')"
39,"('37.578855 55.780162', 'район Беговой')"
40,"('37.573708 55.782552', 'район Беговой')"
41,"('37.573708 55.782552', 'район Беговой')"
42,"('37.560781 55.787001', 'район Беговой')"
43,"('37.559829 55.78732', 'район Беговой')"
44,"('37.55328 55.790357', 'район Беговой')"
45,"('37.543488 55.796157', 'район Аэропорт')"
46,"('37.543488 55.796157', 'район Аэропорт')"
47,"('37.543488 55.796157', 'район Аэропорт')"
