,address
0,"('37.598573 55.75058', 'район Арбат')"
1,"('37.689069 55.790595', 'район Сокольники')"
2,"('37.518767 55.810481', 'район Аэропорт')"
3,"('37.486939 55.770406', 'район Хорошёво-Мнёвники')"
4,"('37.665156 55.832004', 'район Ростокино')"
5,"('37.552552 55.683534', 'Ломоносовский район')"
6,"('37.62572 55.763194', 'Мещанский район')"
7,"('37.57492 55.776856', 'район Беговой')"
8,"('37.587084 55.743933', 'район Хамовники')"
9,"('37.601286 55.770416', 'Тверской район')"
10,"('37.606523 55.790038', 'район Марьина Роща')"
11,"('37.423204 55.724794', 'Можайский район')"
12,"('37.715525 55.813202', 'район Богородское')"
13,"('37.712605 55.791147', 'район Преображенское')"
14,"('37.518057 55.734795', 'район Дорогомилово')"
15,"('37.678433 55.785002', 'район Сокольники')"
16,"('37.732979 55.773591', 'район Соколиная Гора')"
17,"('37.64542 55.763781', 'Басманный район')"
18,"('37.616431 55.769286', 'Тверской район')"
19,"('37.566126 55.724875', 'район Хамовники')"
20,"('37.602256 55.743005', 'район Хамовники')"
21,"('37.41299 55.731293', 'район Кунцево')"
22,"('37.712713 55.756396', 'район Лефортово')"
23,"('37.589707 55.742428', 'район Хамовники')"
24,"('37.560395 55.725397', 'район Хамовники')"
25,"('37.604978 55.748331', 'район Хамовники')"
26,"('37.565919 55.796982', 'Савёловский район')"
27,"('37.605113 55.709551', 'Донской район')"
28,"('37.596929 55.745154', 'район Хамовники')"
29,"('37.599822 55.67659', 'район Котловка')"
30,"('37.59383 55.673844', 'район Котловка')"
31,"('37.621947 55.764663', 'Мещанский район')"
32,"('37.621543 55.765377', 'Мещанский район')"
33,"('37.632314 55.734679', 'район Замоскворечье')"
34,"('37.821167 55.815757', 'район Гольяново')"
35,"('37.798385 55.80913', 'Не определен')"
36,"('37.475692 55.735601', 'район Фили-Давыдково')"
37,"('37.555193 55.744799', 'район Дорогомилово')"
38,"('37.723151 55.819145', 'район Богородское')"
39,"('37.650011 55.758215', 'Басманный район')"
40,"('37.70072 55.737897', 'Нижегородский район')"
41,"('37.539078 55.73223', 'район Раменки')"
42,"('37.605777 55.797326', 'район Марьина Роща')"
43,"('37.755239 55.680493', 'район Люблино')"
44,"('37.640246 55.86111', 'район Свиблово')"
45,"('37.591189 55.751001', 'район Арбат')"
46,"('37.577166 55.806125', 'Савёловский район')"
47,"('37.643624 55.75095', 'Не определен')"
48,"('37.668767 55.836069', 'район Ростокино')"
49,"('37.68482 55.74564', 'Таганский район')"
50,"('37.359549 55.790408', 'Не определен')"
51,"('37.634586 55.767681', 'Красносельский район')"
52,"('37.511544 55.543521', 'район Южное Бутово')"
53,"('37.58844 55.747718', 'район Арбат')"
54,"('37.443955 55.784379', 'Не определен')"
55,"('37.604178 55.739721', 'район Хамовники')"
56,"('37.618516 55.739727', 'район Якиманка')"
57,"('37.608374 55.776826', 'Тверской район')"
58,"('37.6812 55.791987', 'район Сокольники')"
59,"('37.750712 55.713826', 'Рязанский район')"
60,"('37.465901 55.819955', 'район Покровское-Стрешнево')"
61,"('37.560574 55.793693', 'район Аэропорт')"
62,"('37.582394 55.739727', 'район Хамовники')"
63,"('36.932867 55.46827', 'Не определен')"
64,"('37.128871 55.572874', 'Не определен')"
65,"('37.277614 55.621196', 'Не определен')"
66,"('37.361615 55.509854', 'Не определен')"
67,"('37.370967 55.522225', 'Не определен')"
68,"('37.567797 55.500177', 'Не определен')"
69,"('37.396326 55.618105', 'Не определен')"
70,"('37.54409 55.497439', 'Не определен')"
71,"('37.34329 55.369536', 'Не определен')"
72,"('37.296461 55.623646', 'Не определен')"
73,"('37.393676 55.418441', 'Не определен')"
74,"('37.040854 55.237715', 'Не определен')"
75,"('37.351213 55.577281', 'Не определен')"
76,"('36.935023 55.465784', 'Не определен')"
77,"('37.319835 55.615319', 'Не определен')"
78,"('37.350539 55.328525', 'Не определен')"
79,"('37.481154 55.845895', 'Головинский район')"
80,"('37.691558 55.873117', 'Лосиноостровский район')"
81,"('37.53879 55.80022', 'район Аэропорт')"
82,"('37.626654 55.817537', 'Останкинский район')"
83,"('37.64401 55.773434', 'Красносельский район')"
84,"('37.513997 55.83296', 'район Коптево')"
85,"('37.567419 55.759446', 'Пресненский район')"
86,"('37.594755 55.756761', 'Пресненский район')"
87,"('37.604358 55.743233', 'район Хамовники')"
88,"('37.593875 55.74675', 'район Хамовники')"
89,"('37.623492 55.755596', 'Тверской район')"
90,"('37.632251 55.737973', 'район Замоскворечье')"
91,"('37.631784 55.73401', 'район Замоскворечье')"
92,"('37.621696 55.727511', 'район Замоскворечье')"
93,"('37.865265 55.698782', 'район Косино-Ухтомский')"
94,"('37.836645 55.760119', 'район Ивановское')"
95,"('37.640012 55.892718', 'район Северное Медведково')"
96,"('37.586832 55.817674', 'Бутырский район')"
97,"('37.776745 55.824324', 'район Метрогородок')"
98,"('37.687731 55.809338', 'район Сокольники')"
99,"('37.457124 55.8002', 'район Щукино')"
100,"('37.602957 55.758301', 'Пресненский район')"
101,"('37.597648 55.754664', 'Пресненский район')"
102,"('37.712021 55.774867', 'Басманный район')"
103,"('37.677373 55.769737', 'Басманный район')"
104,"('37.577948 55.77273', 'Пресненский район')"
105,"('37.536472 55.758944', 'Пресненский район')"
106,"('37.177649 55.984909', 'район Силино')"
107,"('37.189938 55.985106', 'район Старое Крюково')"
108,"('37.251338 55.612863', 'район Внуково')"
109,"('37.261831 55.611699', 'Не определен')"
110,"('37.487802 55.84494', 'Головинский район')"
111,"('37.614815 55.599972', 'район Чертаново Южное')"
112,"('37.644782 55.730502', 'район Замоскворечье')"
113,"('37.554906 55.612009', 'район Ясенево')"
114,"('37.536392 55.610194', 'район Ясенево')"
115,"('37.601582 55.675311', 'район Котловка')"
116,"('37.590461 55.64795', 'Не определен')"
117,"('37.52466 55.859165', 'Головинский район')"
118,"('37.57236 55.882868', 'Алтуфьевский район')"
119,"('37.683634 55.787933', 'район Сокольники')"
120,"('37.701062 55.813652', 'район Богородское')"
121,"('37.71071 55.815615', 'район Богородское')"
122,"('37.697963 55.816257', 'район Богородское')"
123,"('37.712461 55.807193', 'район Богородское')"
124,"('37.728685 55.817314', 'район Богородское')"
125,"('37.573474 55.842292', 'Тимирязевский район')"
126,"('37.537425 55.886281', 'Дмитровский район')"
127,"('37.5675 55.82396', 'Тимирязевский район')"
128,"('37.532762 55.896413', 'Дмитровский район')"
129,"('37.55452 55.874905', 'Бескудниковский район')"
130,"('37.556891 55.862873', 'Бескудниковский район')"
131,"('37.560431 55.812651', 'Тимирязевский район')"
132,"('37.538027 55.895459', 'Дмитровский район')"
133,"('37.643507 55.776588', 'Красносельский район')"
134,"('37.642348 55.773256', 'Красносельский район')"
135,"('37.637847 55.772512', 'Красносельский район')"
136,"('37.552085 55.833981', 'Тимирязевский район')"
137,"('37.557286 55.806985', 'Тимирязевский район')"
138,"('37.614617 55.784354', 'район Марьина Роща')"
139,"('37.606793 55.783818', 'Тверской район')"
140,"('37.587003 55.821092', 'Бутырский район')"
141,"('37.612057 55.775874', 'Не определен')"
142,"('37.533005 55.73072', 'район Раменки')"
143,"('37.508418 55.799684', 'район Сокол')"
144,"('37.465263 55.87341', 'район Левобережный')"
145,"('37.356091 55.940573', 'Молжаниновский район')"
146,"('37.576331 55.786455', 'район Беговой')"
147,"('37.381001 55.634278', 'район Солнцево')"
148,"('37.581855 55.543323', 'район Южное Бутово')"
149,"('37.612308 55.658444', 'Не определен')"
150,"('37.625963 55.743477', 'район Замоскворечье')"
151,"('37.573088 55.793682', 'Савёловский район')"
152,"('37.622306 55.738982', 'район Якиманка')"
153,"('37.607026 55.719186', 'Донской район')"
154,"('37.442958 55.846067', 'район Южное Тушино')"
155,"('37.418308 55.833809', 'район Покровское-Стрешнево')"
156,"('37.459424 55.841438', 'район Южное Тушино')"
157,"('37.458984 55.813647', 'район Покровское-Стрешнево')"
158,"('37.604708 55.795363', 'район Марьина Роща')"
159,"('37.697451 55.783185', 'район Сокольники')"
160,"('37.692815 55.79181', 'район Сокольники')"
161,"('37.707566 55.798166', 'район Преображенское')"
162,"('37.633877 55.771307', 'Красносельский район')"
163,"('37.463152 55.803074', 'район Щукино')"
164,"('37.496084 55.779661', 'район Хорошёво-Мнёвники')"
165,"('37.662838 55.770785', 'Красносельский район')"
166,"('37.694064 55.793085', 'район Сокольники')"
167,"('37.78969 55.790261', 'район Измайлово')"
168,"('37.740812 55.78978', 'район Соколиная Гора')"
169,"('37.728326 55.77676', 'район Соколиная Гора')"
170,"('37.597827 55.795545', 'район Марьина Роща')"
171,"('37.806317 55.807319', 'район Северное Измайлово')"
172,"('37.816621 55.789937', 'район Восточное Измайлово')"
173,"('37.723672 55.780537', 'район Соколиная Гора')"
174,"('37.444027 55.848316', 'район Южное Тушино')"
175,"('37.602085 55.789168', 'район Марьина Роща')"
176,"('37.777167 55.807122', 'Не определен')"
177,"('37.711518 55.78237', 'район Соколиная Гора')"
178,"('37.77599 55.79266', 'район Измайлово')"
179,"('37.672666 55.773003', 'Басманный район')"
180,"('37.691647 55.772867', 'Басманный район')"
181,"('37.687973 55.768851', 'Басманный район')"
182,"('37.674409 55.771413', 'Басманный район')"
183,"('37.568147 55.756528', 'Пресненский район')"
184,"('37.595411 55.768269', 'Тверской район')"
185,"('37.524228 55.767337', 'Хорошёвский район')"
186,"('37.214768 55.990695', 'Не определен')"
187,"('37.548465 55.780745', 'район Беговой')"
188,"('37.599876 55.766228', 'Тверской район')"
189,"('37.603693 55.768547', 'Тверской район')"
190,"('37.609775 55.76327', 'Тверской район')"
191,"('37.517859 55.792645', 'Хорошёвский район')"
192,"('37.628325 55.732256', 'район Замоскворечье')"
193,"('37.625208 55.735459', 'район Замоскворечье')"
194,"('37.614356 55.713481', 'Даниловский район')"
195,"('37.646247 55.722005', 'Даниловский район')"
196,"('37.630679 55.745144', 'район Замоскворечье')"
197,"('37.612218 55.710595', 'Даниловский район')"
198,"('37.392679 55.647706', 'район Солнцево')"
199,"('37.390604 55.657738', 'район Солнцево')"
200,"('37.40769 55.646492', 'район Солнцево')"
201,"('37.192256 55.985005', 'район Старое Крюково')"
202,"('37.639878 55.760226', 'Басманный район')"
203,"('37.614815 55.771332', 'Тверской район')"
204,"('37.43728 55.67225', 'район Очаково-Матвеевское')"
205,"('37.342041 55.635853', 'район Ново-Переделкино')"
206,"('37.668695 55.750434', 'Таганский район')"
207,"('37.68977 55.758149', 'район Лефортово')"
208,"('37.66742 55.75745', 'Басманный район')"
209,"('37.636617 55.756791', 'Не определен')"
210,"('37.646058 55.754978', 'Не определен')"
211,"('37.655652 55.760352', 'Басманный район')"
212,"('37.679179 55.751852', 'район Лефортово')"
213,"('37.679287 55.750393', 'район Лефортово')"
214,"('37.70364 55.745144', 'район Лефортово')"
215,"('37.711455 55.767372', 'район Лефортово')"
216,"('37.588081 55.731769', 'район Хамовники')"
217,"('37.598088 55.737198', 'район Хамовники')"
218,"('37.562146 55.731054', 'район Хамовники')"
219,"('37.562892 55.722487', 'район Хамовники')"
220,"('37.580445 55.72999', 'район Хамовники')"
221,"('37.603226 55.741586', 'район Хамовники')"
222,"('37.643336 55.753423', 'Не определен')"
223,"('37.669477 55.747216', 'Таганский район')"
224,"('37.6441 55.75593', 'Не определен')"
225,"('37.80338 55.750484', 'район Новогиреево')"
226,"('37.792762 55.747475', 'район Новогиреево')"
227,"('37.810557 55.746375', 'район Новогиреево')"
228,"('37.645375 55.743715', 'Не определен')"
229,"('37.663925 55.70807', 'Даниловский район')"
230,"('37.654394 55.679052', 'район Нагатино-Садовники')"
231,"('37.648699 55.737476', 'Таганский район')"
232,"('37.654188 55.73556', 'Таганский район')"
233,"('37.648915 55.742144', 'Не определен')"
234,"('37.675298 55.707776', 'Южнопортовый район')"
235,"('37.642195 55.833653', 'район Ростокино')"
236,"('37.68412 55.877889', 'Лосиноостровский район')"
237,"('37.657278 55.865869', 'Бабушкинский район')"
238,"('37.724238 55.874137', 'Ярославский район')"
239,"('37.688791 55.879445', 'Лосиноостровский район')"
240,"('37.668435 55.859266', 'Бабушкинский район')"
241,"('37.662946 55.874279', 'Бабушкинский район')"
242,"('37.677041 55.866591', 'Бабушкинский район')"
243,"('37.703748 55.868773', 'Ярославский район')"
244,"('37.696453 55.875849', 'Лосиноостровский район')"
245,"('37.700568 55.880904', 'Лосиноостровский район')"
246,"('37.691073 55.879889', 'Лосиноостровский район')"
247,"('37.640012 55.804116', 'Алексеевский район')"
248,"('37.639455 55.804759', 'Алексеевский район')"
249,"('37.631182 55.788515', 'Мещанский район')"
250,"('37.631146 55.786814', 'Мещанский район')"
251,"('37.625783 55.775667', 'Мещанский район')"
252,"('37.621696 55.793748', 'район Марьина Роща')"
253,"('37.637614 55.789431', 'Мещанский район')"
254,"('37.641845 55.810324', 'Алексеевский район')"
255,"('37.632062 55.785569', 'Мещанский район')"
256,"('37.63729 55.787553', 'Мещанский район')"
257,"('37.376267 55.755626', 'район Кунцево')"
258,"('37.426914 55.724713', 'Можайский район')"
259,"('37.443991 55.724794', 'Можайский район')"
260,"('37.408346 55.722979', 'Можайский район')"
261,"('37.414499 55.722715', 'Можайский район')"
262,"('37.435376 55.71769', 'Можайский район')"
263,"('37.440505 55.715804', 'Можайский район')"
264,"('37.405543 55.7127', 'Можайский район')"
265,"('37.43322 55.729787', 'район Кунцево')"
266,"('37.584164 55.748027', 'район Арбат')"
267,"('37.580544 55.748706', 'район Арбат')"
268,"('37.58058 55.750165', 'район Арбат')"
269,"('37.36175 55.787001', 'Не определен')"
270,"('37.809686 55.674255', 'район Люблино')"
271,"('37.745376 55.731212', 'Нижегородский район')"
272,"('37.787929 55.724317', 'Рязанский район')"
273,"('37.787084 55.720859', 'Рязанский район')"
274,"('37.732826 55.734481', 'Нижегородский район')"
275,"('37.747963 55.684691', 'район Люблино')"
276,"('37.753847 55.684204', 'район Люблино')"
277,"('37.741351 55.674971', 'район Люблино')"
278,"('37.739878 55.697488', 'район Текстильщики')"
279,"('37.713459 55.651785', 'район Марьино')"
280,"('37.699526 55.657367', 'район Печатники')"
281,"('37.736348 55.711635', 'район Текстильщики')"
282,"('37.649409 55.750292', 'Таганский район')"
283,"('37.649921 55.745351', 'Таганский район')"
284,"('37.676717 55.745205', 'Таганский район')"
285,"('37.651385 55.748817', 'Таганский район')"
286,"('37.661033 55.752242', 'Таганский район')"
287,"('37.663252 55.752612', 'Таганский район')"
288,"('37.675029 55.733457', 'Таганский район')"
289,"('37.546893 55.589254', 'район Ясенево')"
290,"('37.575603 55.563605', 'район Северное Бутово')"
291,"('37.732152 55.778082', 'район Соколиная Гора')"
292,"('37.537128 55.885181', 'Дмитровский район')"
293,"('37.508768 55.833612', 'район Коптево')"
294,"('37.654044 55.868198', 'Бабушкинский район')"
295,"('37.609479 55.746943', 'район Хамовники')"
296,"('37.74498 55.759537', 'район Соколиная Гора')"
297,"('37.38207 55.652263', 'район Солнцево')"
298,"('37.407582 55.748756', 'район Кунцево')"
299,"('37.512802 55.83337', 'район Коптево')"
300,"('37.702454 55.774624', 'Басманный район')"
301,"('37.624687 55.742458', 'район Якиманка')"
302,"('37.638117 55.885246', 'район Северное Медведково')"
